ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00053,{PM2.5},Air4Thai,สถานี: สำนักงานเขตดอนเมือง | PM2.5: - (AQI -) | PM10: 55 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.910986,100.594877","เขตดอนเมือง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332207,open,0,0,2025-11-23T22:51:54.332207
EXT-00054,{PM2.5},Air4Thai,สถานี: สำนักงานเขตสายไหม | PM2.5: - (AQI -) | PM10: 47 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.896035,100.660628","ริมถนนสุขาภิบาล5 เขตสายไหม, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332210,open,0,0,2025-11-23T22:51:54.332211
EXT-00055,{PM2.5},Air4Thai,สถานี: สำนักงานเขตบางกะปิ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.766478,100.647785","ริมถนนนวมินทร์ แยกบางกะปิ เขตบางกะปิ, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332214,open,0,0,2025-11-23T22:51:54.332215
EXT-00056,{PM2.5},Air4Thai,สถานี: แยกสวนสยาม-รามอินทรา | PM2.5: - (AQI -) | PM10: 52 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.813844,100.686594","แยกสวนสยาม-รามอินทรา เขตคันนายาว, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332218,open,0,0,2025-11-23T22:51:54.332219
EXT-00057,{PM2.5},Air4Thai,สถานี: โรงพยาบาลลาดกระบัง | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.72205,100.784069","ริมถนนลาดกระบัง เขตลาดกระบัง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332221,open,0,0,2025-11-23T22:51:54.332222
EXT-00058,{PM2.5},Air4Thai,สถานี: สวนเฉลิมพระเกียรติ ร.9 | PM2.5: - (AQI -) | PM10: 60 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.813578,100.73208","ริมถนนสีหบุรานุกิจ เขตมีนบุรี, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332225,open,0,0,2025-11-23T22:51:54.332226
EXT-00059,{PM2.5},Air4Thai,สถานี: สำนักงานเขตหนองจอก | PM2.5: - (AQI -) | PM10: 70 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.855362,100.86267","ริมถนนเลียบวารี เขตหนองจอก, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332229,open,0,0,2025-11-23T22:51:54.332230
EXT-00060,{PM2.5},Air4Thai,สถานี: ซีคอน สแควร์ | PM2.5: - (AQI -) | PM10: 72 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.695561,100.647615","ริมถนนศรีนครินทร์ เขตประเวศ, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332233,open,0,0,2025-11-23T22:51:54.332233
EXT-00061,{PM2.5},Air4Thai,สถานี: แยกมไหศวรรย์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 15:00,,,"13.70515,100.48465","ริมถนนรัชดาภิเษก-ท่าพระ เขตธนบุรี, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332236,open,0,0,2025-11-23T22:51:54.332237
EXT-00062,{PM2.5},Air4Thai,สถานี: ห้องสมุดใต้สะพานสมเด็จพระเจ้าตากสิน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 13:00,,,"13.719705,100.508782","ริมถนนเจริญนคร เขตคลองสาน, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332241,open,0,0,2025-11-23T22:51:54.332241
